"","X","electrode","bin","R2","absBeta","Fstat","p","fstretch","perm_p","predictor","region","anova_p","diff_adj_r2","perct_adj_r2","correction"
"454",25,"RIN3-RIN4","post_12",0.00051911952794588,0.000548082314391108,0.117381948577504,0.732209942887369,5.3162925128663,0.4103,"ineq_disadvent","Insula",0.0938155952650876,0.00789061805547631,-1.00427392756649,17
"455",26,"RIN3-RIN4","post_13",4.81134913859999e-06,5.20937106096674e-05,0.00108737013704097,0.973723392089362,5.3162925128663,0.4103,"ineq_disadvent","Insula",0.0938155952650876,0.00789061805547631,-1.00427392756649,17
"456",27,"RIN3-RIN4","post_14",0.000141825290706738,0.00031530243953694,0.0320570622018888,0.858062886009793,5.3162925128663,0.4103,"ineq_disadvent","Insula",0.0938155952650876,0.00789061805547631,-1.00427392756649,17
"457",28,"RIN3-RIN4","post_15",0.000336713581073465,0.000486959184907847,0.0761229009371794,0.782874082382622,5.3162925128663,0.4103,"ineq_disadvent","Insula",0.0938155952650876,0.00789061805547631,-1.00427392756649,17
"458",29,"RIN3-RIN4","post_16",0.00393688184165741,0.00151323193086388,0.893251923492197,0.34560692657768,5.3162925128663,0.4103,"ineq_disadvent","Insula",0.0938155952650876,0.00789061805547631,-1.00427392756649,17
"459",30,"RIN3-RIN4","post_17",0.00849537372995339,0.00227339456159825,1.93640494668408,0.165427556650629,5.3162925128663,0.4103,"ineq_disadvent","Insula",0.0938155952650876,0.00789061805547631,-1.00427392756649,17
"460",31,"RIN3-RIN4","post_18",0.00462583460302736,0.00160431141840497,1.0502971210502,0.306534354741926,5.3162925128663,0.4103,"ineq_disadvent","Insula",0.0938155952650876,0.00789061805547631,-1.00427392756649,17
"461",32,"RIN3-RIN4","post_19",0.00115992650094026,0.000804295824773148,0.262447809381714,0.608943724433306,5.3162925128663,0.4103,"ineq_disadvent","Insula",0.0938155952650876,0.00789061805547631,-1.00427392756649,17
"462",33,"RIN3-RIN4","post_20",5.17755991425427e-07,1.78472907338532e-05,0.000117012914646284,0.991378793646074,5.3162925128663,0.4103,"ineq_disadvent","Insula",0.0938155952650876,0.00789061805547631,-1.00427392756649,17
"463",1,"RIN9-RIN10","pre_13",0.0244258746987385,0.00379306109750722,5.65846052980363,0.0182034914759309,11.882925755558,0.0376,"ineq_disadvent","Insula",0.0938155952650876,0.00789061805547631,-1.00427392756649,17
"464",2,"RIN9-RIN10","pre_12",0.000436875228420738,0.000499262856798392,0.0987769548277899,0.753592235924953,11.882925755558,0.0376,"ineq_disadvent","Insula",0.0938155952650876,0.00789061805547631,-1.00427392756649,17
"465",3,"RIN9-RIN10","pre_11",0.000506921967955475,0.00057060026414804,0.1146224694057,0.735255995698503,11.882925755558,0.0376,"ineq_disadvent","Insula",0.0938155952650876,0.00789061805547631,-1.00427392756649,17
"466",4,"RIN9-RIN10","pre_10",0.000759960861347373,0.000706651620950925,0.171881778088632,0.678838048413441,11.882925755558,0.0376,"ineq_disadvent","Insula",0.0938155952650876,0.00789061805547631,-1.00427392756649,17
"467",5,"RIN9-RIN10","pre_9",6.47048055890491e-06,5.91605674734061e-05,0.00146233806834255,0.969529664476904,11.882925755558,0.0376,"ineq_disadvent","Insula",0.0938155952650876,0.00789061805547631,-1.00427392756649,17
"468",6,"RIN9-RIN10","pre_8",0.012507613937688,0.00264569059248775,2.86252409620009,0.0920433982272731,11.882925755558,0.0376,"ineq_disadvent","Insula",0.0938155952650876,0.00789061805547631,-1.00427392756649,17
"469",7,"RIN9-RIN10","pre_7",0.0312005465638591,0.00402445164187081,7.27841401894118,0.00750526638584325,11.882925755558,0.0376,"ineq_disadvent","Insula",0.0938155952650876,0.00789061805547631,-1.00427392756649,17
"470",8,"RIN9-RIN10","pre_6",0.0199671363840262,0.00326482057933695,4.6045117366168,0.0329538189336489,11.882925755558,0.0376,"ineq_disadvent","Insula",0.0938155952650876,0.00789061805547631,-1.00427392756649,17
"471",9,"RIN9-RIN10","pre_5",0.000179615510844898,0.000333588849778451,0.0406003979121584,0.840492463397348,11.882925755558,0.0376,"ineq_disadvent","Insula",0.0938155952650876,0.00789061805547631,-1.00427392756649,17
"472",10,"RIN9-RIN10","pre_4",0.00951811080972297,0.00244804807814274,2.1717641346839,0.141956381965806,11.882925755558,0.0376,"ineq_disadvent","Insula",0.0938155952650876,0.00789061805547631,-1.00427392756649,17
"473",11,"RIN9-RIN10","pre_3",0.00399832923143562,0.00146630122428944,0.907249890060094,0.341862743979856,11.882925755558,0.0376,"ineq_disadvent","Insula",0.0938155952650876,0.00789061805547631,-1.00427392756649,17
"474",12,"RIN9-RIN10","pre_2",0.00155795414133821,0.000939953826550254,0.352647043864855,0.553212427417928,11.882925755558,0.0376,"ineq_disadvent","Insula",0.0938155952650876,0.00789061805547631,-1.00427392756649,17
"475",13,"RIN9-RIN10","pre_1",0.00102448363093502,0.000783069260790896,0.231770745926646,0.630679754339687,11.882925755558,0.0376,"ineq_disadvent","Insula",0.0938155952650876,0.00789061805547631,-1.00427392756649,17
"476",14,"RIN9-RIN10","post_1",0.00014786269782153,0.000302377141206269,0.0334219115616756,0.855105811103121,11.882925755558,0.0376,"ineq_disadvent","Insula",0.0938155952650876,0.00789061805547631,-1.00427392756649,17
"477",15,"RIN9-RIN10","post_2",0.00173437474504501,0.00100041373910583,0.392649694093258,0.531542322329402,11.882925755558,0.0376,"ineq_disadvent","Insula",0.0938155952650876,0.00789061805547631,-1.00427392756649,17
